linhagem,ninfas,simbionte
J4,25,Ausência
J4,20,Ausência
J4,41,Ausência
J4,32,Ausência
J4,17,Ausência
J4,32,Ausência
J4,15,Ausência
J4,19,Ausência
J4,25,Ausência
J4,3,Ausência
J4,71,Ausência
J4,26,Ausência
J4,16,Ausência
J4,3,Ausência
J4,13,Ausência
J4,26,Ausência
J4,21,Ausência
J4,46,Ausência
J4,53,Ausência
J4,38,Ausência
J4,42,Ausência
J4,20,Ausência
J4,20,Ausência
J4,13,Ausência
J4,18,Ausência
J4,25,Ausência
J4,13,Ausência
J4,14,Ausência
J4,59,Ausência
J4,3,Ausência
MP17,34,Ausência
MP17,63,Ausência
MP17,15,Ausência
MP17,79,Ausência
MP17,59,Ausência
MP17,40,Ausência
MP17,47,Ausência
MP17,19,Ausência
MP17,0,Ausência
MP17,18,Ausência
MP17,7,Ausência
MP17,55,Ausência
MP17,15,Ausência
MP17,19,Ausência
MP17,70,Ausência
MP17,56,Ausência
MP17,21,Ausência
MP17,74,Ausência
MP17,4,Ausência
MP17,26,Ausência
MP17,36,Ausência
MP17,70,Ausência
MP17,86,Ausência
MP17,37,Ausência
MP17,11,Ausência
MP17,61,Ausência
MP17,19,Ausência
MP17,60,Ausência
MP17,31,Ausência
MP17,14,Ausência
P6,24,Ausência
P6,6,Ausência
P6,22,Ausência
P6,35,Ausência
P6,32,Ausência
P6,22,Ausência
P6,32,Ausência
P6,36,Ausência
P6,33,Ausência
P6,6,Ausência
P6,33,Ausência
P6,19,Ausência
P6,20,Ausência
P6,2,Ausência
P6,4,Ausência
P6,50,Ausência
P6,30,Ausência
P6,0,Ausência
P6,30,Ausência
P6,0,Ausência
P6,12,Ausência
P6,8,Ausência
P6,26,Ausência
P6,31,Ausência
P6,2,Ausência
P6,18,Ausência
P6,12,Ausência
P6,26,Ausência
P6,11,Ausência
P6,18,Ausência
P10,7,Rick
P10,9,Rick
P10,0,Rick
P10,12,Rick
P10,38,Rick
P10,18,Rick
P10,28,Rick
P10,31,Rick
P10,44,Rick
P10,54,Rick
P10,15,Rick
P10,28,Rick
P10,2,Rick
P10,77,Rick
P10,35,Rick
P10,34,Rick
P10,1,Rick
P10,1,Rick
P10,38,Rick
P10,70,Rick
P10,21,Rick
P10,26,Rick
P10,21,Rick
P10,65,Rick
P10,47,Rick
P10,53,Rick
P10,25,Rick
P10,55,Rick
P10,68,Rick
P10,43,Rick
P12,3,Rick
P12,12,Rick
P12,16,Rick
P12,12,Rick
P12,23,Rick
P12,24,Rick
P12,33,Rick
P12,21,Rick
P12,50,Rick
P12,58,Rick
P12,10,Rick
P12,27,Rick
P12,36,Rick
P12,39,Rick
P12,23,Rick
P12,43,Rick
P12,27,Rick
P12,30,Rick
P12,57,Rick
P12,56,Rick
P12,37,Rick
P12,52,Rick
P12,53,Rick
P12,44,Rick
P12,36,Rick
P12,64,Rick
P12,9,Rick
P12,11,Rick
P12,47,Rick
P12,12,Rick
P52,33,Rick
P52,15,Rick
P52,36,Rick
P52,66,Rick
P52,39,Rick
P52,51,Rick
P52,74,Rick
P52,15,Rick
P52,63,Rick
P52,62,Rick
P52,34,Rick
P52,34,Rick
P52,8,Rick
P52,10,Rick
P52,11,Rick
P52,21,Rick
P52,38,Rick
P52,5,Rick
P52,54,Rick
P52,41,Rick
P52,33,Rick
P52,38,Rick
P52,11,Rick
P52,39,Rick
P52,5,Rick
P52,10,Rick
P52,13,Rick
P52,10,Rick
P52,24,Rick
P52,0,Rick