linhagem,ROPSV,RMPSV,IMGPSV,TDPSV,LPSV
J4,18.4375,0.16315,16.7566,3.97798,1.17537
J4,14.75,0.18857,14.3043,3.60967,1.207
J4,30.2375,0.18206,18.4811,3.7043,1.1989
J4,23.6,0.23698,13.4495,2.9,1.26716
J4,12.5375,0.21562,12.0906,3.21444,1.24063
J4,23.6,0.22411,14.252,3.08978,1.25117
J4,11.0625,0.20644,12.3097,3.34902,1.22922
J4,14.0125,0.18105,14.592,3.71897,1.19764
J4,18.4375,0.19091,15.0502,3.57572,1.2099
J4,2.2125,0.16603,12.7227,3.93651,1.17894
J4,52.3625,0.29083,17.3986,2.09754,1.33398
J4,19.175,0.2252,13.1004,3.07369,1.25253
J4,11.8,0.21791,11.7706,3.18092,1.24347
J4,2.2125,0.16025,13.0801,4.01995,1.17175
J4,9.5875,0.20098,12.2971,3.42882,1.22243
J4,19.175,0.25778,11.0567,2.59168,1.29298
J4,15.4875,0.23618,11.5159,2.91173,1.26618
J4,33.925,0.33972,9.5354,1.35691,1.39453
J4,39.0875,0.31272,12.5777,1.7673,1.3611
J4,28.025,0.23919,14.406,2.86727,1.26991
J4,30.975,0.32122,9.9696,1.63852,1.37163
J4,14.75,0.17811,14.9504,3.76161,1.19398
J4,14.75,0.18536,14.5029,3.65637,1.203
J4,9.5875,0.21048,11.7044,3.28986,1.23424
J4,13.275,0.21067,12.5773,3.28707,1.23448
J4,18.4375,0.28742,8.9975,2.14883,1.32974
J4,9.5875,0.1888,13.0544,3.60639,1.20728
J4,10.325,0.18966,13.1771,3.59391,1.20835
J4,43.5125,0.28123,15.6981,2.2416,1.32207
J4,2.2125,0.16445,12.8202,3.95926,1.17698
P10,5.4348,0.17797,13.3839,3.52527,1.19084
P10,6.9876,0.22239,11.4501,3.06195,1.24831
P10,0,0.14759,14.0406,3.83905,1.15148
P10,9.3168,0.24479,10.702,2.82615,1.27727
P10,29.5032,0.32895,9.6641,1.92746,1.38585
P10,13.9752,0.26296,10.5186,2.63378,1.30075
P10,21.7392,0.29103,10.3318,2.33489,1.33697
P10,24.0684,0.23023,13.6915,2.97953,1.25846
P10,34.1616,0.26517,13.5655,2.61037,1.3036
P10,41.9256,0.22745,16.6396,3.00876,1.25486
P10,11.646,0.24344,11.125,2.84038,1.27553
P10,21.7392,0.22255,13.7047,3.06019,1.24853
P10,1.5528,0.15753,13.7921,3.73668,1.16436
P10,59.7828,0.30171,15.9194,2.22056,1.35074
P10,27.174,0.28154,11.6552,2.43625,1.32472
P10,26.3976,0.18153,16.416,3.48837,1.19545
P10,0.7764,0.15405,13.8443,3.77255,1.15985
P10,0.7764,0.15306,13.8924,3.7828,1.15856
P10,29.5032,0.26216,12.9774,2.64232,1.29971
P10,54.348,0.25867,17.1277,2.67928,1.29521
P10,16.3044,0.23487,12.2623,2.93073,1.26445
P10,20.1864,0.26172,11.5416,2.64699,1.29914
P10,16.3044,0.23987,12.0168,2.87806,1.27091
P10,50.466,0.36755,11.1196,1.50836,1.43554
P10,36.4908,0.22748,15.775,3.0085,1.2549
P10,41.1492,0.35868,10.0426,1.605,1.42414
P10,19.41,0.30123,9.46,2.22573,1.35012
P10,42.702,0.28538,13.9364,2.39528,1.32968
P10,52.7952,0.38012,10.8724,1.37082,1.45172
P10,33.3852,0.25126,14.1244,2.75775,1.28563
P52,25.7812,0.22823,13.8343,2.95918,1.25514
P52,11.7187,0.27466,9.6545,2.5232,1.31607
P52,28.125,0.25471,13.0759,2.7111,1.28991
P52,51.5625,0.41665,9.8664,1.15738,1.50179
P52,30.4687,0.26747,12.9021,2.59105,1.30664
P52,39.8437,0.30249,12.9035,2.25944,1.35254
P52,64.0625,0.28889,17.4712,2.38857,1.33472
P52,11.7187,0.23021,11.565,2.94061,1.25776
P52,49.2187,0.39494,10.4293,1.36951,1.47345
P52,48.4375,0.30435,14.2232,2.24172,1.35498
P52,26.5625,0.33169,9.5085,1.98058,1.39078
P52,26.5625,0.26472,12.4014,2.61696,1.30304
P52,6.25,0.22032,11.1506,3.03287,1.24476
P52,7.8125,0.24711,10.2409,2.78246,1.27994
P52,8.5937,0.21044,11.9298,3.12482,1.23178
P52,16.4062,0.26652,10.7327,2.60001,1.3054
P52,29.6875,0.27081,12.6351,2.55953,1.31103
P52,3.9062,0.21795,10.8956,3.05498,1.24165
P52,42.1875,0.25443,15.3335,2.7138,1.28954
P52,32.0312,0.33887,10.0707,1.91177,1.40016
P52,25.7812,0.31789,9.9845,2.11258,1.37272
P52,29.6875,0.29568,11.5665,2.32412,1.34362
P52,8.5937,0.25845,9.8725,2.67596,1.29482
P52,30.4687,0.28443,12.1749,2.43078,1.32888
P52,3.9062,0.22087,10.7707,3.02778,1.24548
P52,7.8125,0.25062,10.0901,2.74957,1.28454
P52,10.1562,0.27355,9.4611,2.53368,1.31462
P52,7.8125,0.25062,10.0901,2.74957,1.28454
P52,18.75,0.26683,11.0846,2.59709,1.3058
P52,0,0.15591,12.9412,3.62808,1.16006
MP17,29.325,0.29871,10.9706,2.26059,1.347
MP17,54.3375,0.30271,13.7454,2.21852,1.35217
MP17,12.9375,0.21438,13.5064,3.13796,1.23783
MP17,68.1375,0.30577,15.2673,2.18629,1.35612
MP17,50.8875,0.27968,14.5414,2.46034,1.32239
MP17,34.5,0.26149,13.5456,2.65023,1.29886
MP17,40.5375,0.25605,14.5443,2.70688,1.29182
MP17,16.3875,0.2291,13.1332,2.98618,1.25692
MP17,0,0.15412,15.1652,3.75291,1.15963
MP17,15.525,0.21219,13.9172,3.16048,1.23499
MP17,6.0375,0.18507,14.245,3.43824,1.19982
MP17,47.4375,0.22526,16.9661,3.02582,1.25194
MP17,12.9375,0.24912,11.6852,2.77888,1.28285
MP17,16.3875,0.26945,11.0107,2.5673,1.30915
MP17,60.375,0.2635,16.5328,2.62938,1.30145
MP17,48.3,0.29569,13.3877,2.29236,1.3431
MP17,18.1125,0.19684,15.012,3.31792,1.21509
MP17,63.825,0.3206,13.9561,2.02963,1.37528
MP17,3.45,0.17028,14.7187,3.58893,1.18062
MP17,22.425,0.23766,13.383,2.89769,1.268
MP17,31.05,0.19921,16.3858,3.29368,1.21816
MP17,60.375,0.24678,17.402,2.8032,1.27981
MP17,74.175,0.31855,15.3397,2.05131,1.37264
MP17,31.9125,0.22024,15.3967,3.07765,1.24543
MP17,9.4875,0.23127,12.2276,2.96377,1.25973
MP17,52.6125,0.25137,16.2286,2.75556,1.28575
MP17,16.3875,0.26298,11.3524,2.63473,1.30079
MP17,51.75,0.27991,14.6331,2.45794,1.32269
MP17,26.7375,0.21697,14.9637,3.11134,1.24118
MP17,12.075,0.20928,13.6734,3.19034,1.23123
P6,16.1074,0.20131,13.8516,3.43964,1.22298
P6,4.0268,0.11615,14.6468,4.78435,1.11797
P6,14.7651,0.19922,13.4936,3.47307,1.22041
P6,23.4899,0.26289,12.8445,2.44343,1.29872
P6,21.4765,0.19769,16.0164,3.49757,1.21852
P6,14.7651,0.20869,12.9258,3.32133,1.23206
P6,21.4765,0.19716,16.0483,3.50614,1.21786
P6,24.1611,0.19577,17.115,3.52836,1.21615
P6,22.1477,0.20845,15.6218,3.32522,1.23177
P6,4.0268,0.12976,13.8437,4.57194,1.13477
P6,22.1477,0.30607,9.7066,1.73251,1.35173
P6,12.7517,0.21906,11.5782,3.15458,1.24483
P6,13.4228,0.25831,9.4348,2.51821,1.29309
P6,1.3423,0.14663,11.9162,4.30736,1.15559
P6,2.6846,0.12852,13.4544,4.5914,1.13324
P6,33.5571,0.21859,19.2713,3.16211,1.24425
P6,20.1342,0.30402,9.0847,1.76653,1.34922
P6,0,0.1026,14.0644,4.99484,1.10123
P6,20.1342,0.20557,15.0572,3.37139,1.22822
P6,0,0.1026,14.0644,4.99484,1.10123
P6,8.0537,0.25646,7.6207,2.54836,1.29082
P6,5.3691,0.15459,12.8361,4.18207,1.1654
P6,17.4497,0.23758,12.1563,2.85541,1.26761
P6,20.8054,0.25621,12.2565,2.55245,1.29051
P6,1.3423,0.14451,12.0428,4.34073,1.15297
P6,12.0805,0.20968,11.9038,3.30545,1.23328
P6,8.0537,0.21128,10.3753,3.27974,1.23525
P6,17.4497,0.22308,13.0312,3.08985,1.24977
P6,7.3826,0.16336,13.017,4.04361,1.17622
P6,12.0805,0.22975,10.6906,2.98207,1.25798
P12,2.3625,0.17975,13.1603,3.6215,1.19477
P12,9.45,0.25815,9.805,2.66428,1.29425
P12,12.6,0.22351,12.3152,3.08995,1.25032
P12,9.45,0.21112,12.5125,3.24112,1.2346
P12,18.1125,0.20204,14.4405,3.35156,1.22308
P12,18.9,0.18048,15.7907,3.61276,1.19569
P12,25.9875,0.29855,10.1927,2.16234,1.34542
P12,16.5375,0.22472,12.8894,3.07515,1.25186
P12,39.375,0.2314,16.311,2.99331,1.26034
P12,45.675,0.36511,9.6583,1.32241,1.42956
P12,7.875,0.21055,12.2902,3.24806,1.23388
P12,21.2625,0.21829,14.0332,3.15373,1.2437
P12,28.35,0.21697,15.2811,3.16974,1.24203
P12,30.7125,0.32649,9.3572,1.81181,1.38076
P12,18.1125,0.20207,14.4386,3.35116,1.22312
P12,33.8625,0.25763,13.8826,2.67065,1.2936
P12,21.2625,0.24777,12.3446,2.79223,1.2811
P12,23.625,0.26299,11.8601,2.60448,1.30038
P12,44.8875,0.22288,17.7298,3.09764,1.24953
P12,44.1,0.29722,13.3467,2.17902,1.34373
P12,29.1375,0.24426,13.8557,2.83542,1.27665
P12,40.95,0.26058,14.9145,2.6342,1.29734
P12,41.7375,0.2232,17.1761,3.09367,1.24994
P12,34.65,0.23783,15.1481,2.91452,1.26849
P12,28.35,0.22669,14.7279,3.05095,1.25437
P12,50.4,0.24912,17.1872,2.77567,1.2828
P12,7.0875,0.24235,10.3349,2.85896,1.27422
P12,8.6625,0.20882,12.5167,3.26917,1.23168
P12,37.0125,0.32264,10.6546,1.86022,1.3759
P12,9.45,0.21606,12.2301,3.18094,1.24087